gene	chr	pos	neg_log10_pvalue
Gene_7898	chr3	152516212	3.383677
Gene_5429	chrY	50906736	0.047325
Gene_1806	chr1	244386374	0.005128
Gene_5833	chr12	52102475	0.189839
Gene_0218	chr18	26806160	0.131121
Gene_0881	chr4	155943532	0.615004
Gene_1501	chr1	95143528	0.016287
Gene_2470	chr8	133726983	0.056802
Gene_7974	chr17	70397268	3.486758
Gene_2244	chr10	89993054	1.032458
Gene_5044	chr6	139335766	0.459183
Gene_2843	chr1	187276298	0.171807
Gene_5998	chr1	133580629	0.172990
Gene_4693	chr18	79789589	0.479106
Gene_3659	chr17	16442941	0.124714
Gene_7653	chr12	24322633	3.101303
Gene_1593	chr3	23599377	0.312547
Gene_0105	chr6	34704545	0.536077
Gene_7172	chr14	59132230	0.271628
Gene_7767	chr15	33673211	3.084162
Gene_1198	chr1	16335840	0.838240
Gene_2775	chr1	23066173	0.512870
Gene_4049	chr5	29344256	0.003796
Gene_0755	chr13	43895402	0.411571
Gene_4384	chr2	153228300	0.816715
Gene_2528	chr20	60699938	0.334104
Gene_2961	chrX	126699067	0.088571
Gene_7036	chr15	74102982	0.247790
Gene_3859	chrX	58202094	0.033595
Gene_6822	chr9	36447150	0.578678
Gene_7387	chr1	178348853	0.173045
Gene_4014	chr6	128124735	0.959440
Gene_7159	chr5	28326766	0.175704
Gene_1833	chr21	38352055	0.277545
Gene_4179	chr15	62430225	0.511551
Gene_2753	chr12	104946624	0.050620
Gene_4827	chr1	247646096	0.220724
Gene_2129	chr3	86533430	0.708830
Gene_1011	chrY	6807174	0.344012
Gene_4280	chr10	41019000	0.104991
Gene_6765	chrX	13187868	0.518400
Gene_1373	chr1	124997599	0.076878
Gene_4816	chr1	170558816	0.015837
Gene_5902	chr5	171039262	0.085399
Gene_5554	chr17	61656461	1.271487
Gene_6261	chr2	184948696	0.712420
Gene_2195	chr14	86227140	0.180839
Gene_0221	chr20	60400699	0.306211
Gene_5857	chr22	38080364	0.065237
Gene_7434	chr2	137076614	1.081796
Gene_5161	chr7	66139423	0.311982
Gene_4913	chr2	183108278	0.224227
Gene_0406	chr13	45164680	0.206028
Gene_0342	chr1	236469278	0.407786
Gene_0802	chr6	3686789	0.082160
Gene_3010	chr16	63238639	1.169057
Gene_5849	chr5	36374105	0.262810
Gene_3587	chr12	17884443	0.311178
Gene_4498	chr18	30803528	0.000516
Gene_6803	chr13	55217285	0.549852
Gene_0857	chr12	74705342	0.545147
Gene_2821	chr19	40801089	0.165763
Gene_2658	chr16	84354978	0.592879
Gene_4387	chr4	141442935	0.331366
Gene_3227	chr15	61102765	0.119328
Gene_7787	chr7	29148531	3.987894
Gene_2531	chr5	137033568	0.116065
Gene_2937	chr20	56323415	0.561466
Gene_4315	chr2	180257742	0.157156
Gene_4974	chr16	26706370	0.406419
Gene_5075	chr6	76441812	1.166125
Gene_2065	chr11	8866574	0.314473
Gene_0160	chr4	104804339	0.433158
Gene_4155	chr9	33828024	0.480047
Gene_1974	chr12	120142244	0.165814
Gene_4065	chrX	65572164	0.014221
Gene_7253	chr8	19214669	0.455179
Gene_5870	chrX	129847538	0.280908
Gene_0131	chr1	212962025	0.119975
Gene_5328	chrX	133197841	0.481213
Gene_0003	chr9	17593677	0.324404
Gene_2480	chr1	236160963	0.091392
Gene_6533	chr1	114995511	0.019662
Gene_6535	chr5	125679808	0.355111
Gene_0951	chr7	10977810	0.158535
Gene_3393	chr3	33693677	0.742433
Gene_2539	chr9	119245679	0.004491
Gene_3967	chr12	11580294	0.400999
Gene_3035	chr10	45517582	0.684590
Gene_0483	chr8	106035922	0.092316
Gene_5143	chr3	181340153	0.635736
Gene_5605	chr18	57688719	0.493103
Gene_4376	chr5	2268300	0.582208
Gene_0654	chr15	86731734	0.019173
Gene_1458	chr7	84269910	0.407943
Gene_2375	chr13	10055715	0.351185
Gene_7517	chr11	75949403	1.031994
Gene_3003	chr1	23349700	0.206468
Gene_1159	chr1	102650511	0.029632
Gene_3897	chr5	84683199	0.555656
Gene_0929	chr14	23722315	0.173529
Gene_4421	chr4	38483442	0.310168
Gene_5155	chr13	67043104	0.285507
Gene_2447	chr6	130437789	0.039921
Gene_3909	chr1	71812022	0.283337
Gene_3615	chr11	39820716	0.009823
Gene_5982	chr1	145462595	0.693757
Gene_4970	chr4	104620693	0.538556
Gene_1863	chr6	157450279	0.803067
Gene_2428	chr7	66635352	0.725019
Gene_0902	chrX	108969708	0.127018
Gene_7667	chr15	75190681	3.034273
Gene_0513	chrX	62058107	0.126870
Gene_3203	chr4	184932471	0.042392
Gene_7250	chr3	176076081	0.887070
Gene_1671	chr6	109323889	0.107688
Gene_4286	chr22	16710512	0.432737
Gene_2789	chr7	149354563	0.226410
Gene_2322	chr8	91287892	0.523197
Gene_3653	chr20	47037830	0.281354
Gene_5310	chr12	71573030	0.499650
Gene_4415	chr17	16183053	0.095659
Gene_1100	chr5	50865534	0.548528
Gene_5265	chr7	63296159	0.045849
Gene_0948	chr11	79612834	0.245564
Gene_2897	chr6	103038818	0.269082
Gene_2967	chr10	88190476	0.083233
Gene_4963	chr21	15618462	0.060243
Gene_7422	chr4	169358739	0.780383
Gene_6191	chr4	51982790	0.383293
Gene_3104	chr14	57969080	0.272703
Gene_5654	chr6	48338945	0.800283
Gene_7836	chr8	13021807	3.753239
Gene_2729	chr18	51663752	0.163731
Gene_1790	chr13	91145687	0.424615
Gene_6776	chr4	61630480	0.027485
Gene_1306	chr4	181440158	0.211406
Gene_6985	chr5	65103081	0.748024
Gene_2982	chr5	170843648	0.228208
Gene_1056	chr4	122165839	0.550401
Gene_2025	chr3	1738747	0.184921
Gene_5452	chr14	105175917	0.067122
Gene_2638	chr14	12584520	0.297170
Gene_6181	chr4	70920511	0.084827
Gene_1783	chr11	13536067	0.120799
Gene_6847	chr5	97359790	0.001847
Gene_3456	chr13	19427464	0.310646
Gene_4207	chr1	162433988	0.822044
Gene_2364	chr6	19670847	0.105908
Gene_1066	chr13	67312339	0.263360
Gene_4396	chr6	88353830	0.118256
Gene_0098	chr13	97784583	0.013640
Gene_1829	chr14	32429395	0.503979
Gene_3577	chr4	153956881	0.636047
Gene_0308	chr4	71113033	0.324039
Gene_7663	chr4	114869770	3.065516
Gene_1543	chr6	158735013	0.017685
Gene_2196	chr1	129673361	0.240462
Gene_6249	chr19	14084506	0.075389
Gene_5379	chr5	85383569	1.136009
Gene_2750	chr15	35480068	0.698531
Gene_4424	chr18	76493036	0.310167
Gene_7447	chr1	87182824	0.079378
Gene_7771	chr1	26229731	3.122291
Gene_6403	chr1	72711027	0.977239
Gene_5543	chr19	27049823	0.009214
Gene_6041	chr11	89786520	0.626544
Gene_7943	chr8	69009052	3.801717
Gene_4882	chr6	71307490	0.534709
Gene_2894	chr15	33313199	0.426812
Gene_1402	chr15	4668711	0.756341
Gene_3442	chr12	122991356	0.032392
Gene_3527	chr10	63274933	0.267466
Gene_1080	chr3	52264106	0.061122
Gene_4606	chr16	65083756	0.157038
Gene_3511	chr2	234397617	0.576094
Gene_4983	chr1	51025569	0.019136
Gene_1814	chr5	173276650	0.117276
Gene_4093	chr4	131915302	1.241796
Gene_3230	chr18	35838966	0.096612
Gene_2858	chr11	32062840	0.433299
Gene_2774	chr14	98623498	0.562484
Gene_7862	chr4	90055192	3.339369
Gene_6420	chr16	66582678	0.065088
Gene_5859	chr4	138556477	0.664453
Gene_2809	chr1	21068701	0.622611
Gene_0468	chr13	84861020	0.243207
Gene_7142	chr13	38382515	0.398827
Gene_1861	chr1	157667537	0.955781
Gene_4803	chr2	113134830	0.048592
Gene_0249	chr15	100811685	0.796654
Gene_1592	chrX	3922875	0.287337
Gene_7032	chr11	71885014	0.941912
Gene_2479	chr6	75301799	0.017691
Gene_6710	chr21	43048381	0.679307
Gene_5973	chr1	130808497	0.467529
Gene_2084	chr9	25265845	1.097630
Gene_1661	chr18	74997188	0.812691
Gene_0215	chr2	79225771	0.276319
Gene_0050	chr15	22758758	0.507399
Gene_5196	chr7	109757811	0.590045
Gene_7590	chr7	106218695	0.078229
Gene_7139	chr17	46487239	0.165901
Gene_2735	chr9	43732017	0.959952
Gene_6379	chr17	14667194	0.289689
Gene_3667	chr6	118579477	0.053564
Gene_7743	chr20	12625999	3.470209
Gene_6431	chr15	54748574	0.127171
Gene_3776	chr8	26793201	0.322121
Gene_7566	chr1	105654055	0.045638
Gene_4301	chr5	5979213	0.635927
Gene_1199	chr7	53253229	0.104450
Gene_7459	chrX	5614811	0.332780
Gene_0482	chr16	89451072	0.518612
Gene_5890	chr1	197826587	0.061875
Gene_2988	chrX	60012436	0.135168
Gene_0593	chr1	173233891	0.522574
Gene_3222	chr19	25037672	0.379870
Gene_6426	chr9	81102343	0.103808
Gene_1799	chr1	10490283	1.043396
Gene_5660	chrX	27788585	0.829207
Gene_5653	chr3	37689100	0.160885
Gene_5518	chr4	11541803	0.274436
Gene_7208	chrX	154264820	0.346168
Gene_2560	chrX	9000051	0.356253
Gene_3144	chr11	87339284	0.238815
Gene_3906	chr4	138877439	0.075491
Gene_6394	chr5	5327827	0.222717
Gene_6786	chr16	3602148	0.554306
Gene_4899	chr11	78373610	0.327068
Gene_0915	chr18	62678144	0.020491
Gene_3299	chr12	54373885	0.207530
Gene_0392	chr1	122457274	0.032610
Gene_0123	chr1	238378884	0.288547
Gene_8000	chr9	93073818	3.435503
Gene_2629	chr5	99970614	0.249841
Gene_5709	chr2	111557096	0.472141
Gene_4774	chr2	190491802	0.188216
Gene_3249	chr8	101002078	0.288391
Gene_6845	chr10	71552695	0.288598
Gene_5905	chr5	120047317	0.721464
Gene_4146	chr10	37497616	0.376970
Gene_6405	chr11	94898332	0.128856
Gene_6411	chr17	55966517	0.084236
Gene_7870	chr10	28057392	3.011135
Gene_6914	chrX	108473936	0.022877
Gene_0643	chr10	60328669	0.175826
Gene_6877	chr3	137387793	0.051613
Gene_7353	chr2	4725806	0.777196
Gene_1885	chrY	54662568	0.140003
Gene_5189	chr7	72016092	0.118961
Gene_2169	chr10	63703358	0.452912
Gene_3113	chr4	133486735	0.573229
Gene_1222	chrX	49289475	0.615254
Gene_5980	chr5	143129436	0.664177
Gene_6788	chr14	41748291	0.114495
Gene_3195	chrY	24060667	0.255355
Gene_5739	chr16	80941985	0.374710
Gene_0267	chr5	113449779	0.572140
Gene_4269	chrX	114978013	0.105103
Gene_6602	chrX	38017188	0.869859
Gene_5793	chr2	134797378	0.143185
Gene_5769	chr10	6138709	0.567221
Gene_0806	chrX	131384000	0.191973
Gene_3438	chr3	6942363	0.096823
Gene_6492	chr5	61378378	0.202119
Gene_6546	chr9	57275287	0.004777
Gene_1871	chr2	235522100	0.481378
Gene_1493	chr17	75403547	0.568094
Gene_0463	chr6	64701787	0.035607
Gene_0334	chr6	6709333	0.021043
Gene_3626	chrY	31496190	0.488504
Gene_2504	chr5	77026751	0.745578
Gene_5320	chr5	112492577	0.287832
Gene_4932	chr2	51362061	0.245631
Gene_2942	chr13	31767890	0.845691
Gene_6856	chr6	83089914	0.301380
Gene_1183	chr13	4641155	0.042526
Gene_5774	chrX	148592240	0.842231
Gene_1330	chr12	116887964	0.474567
Gene_0788	chr2	210768736	0.235806
Gene_3315	chr11	43015684	1.025488
Gene_0954	chr13	109182341	0.051523
Gene_1804	chr5	140670730	0.018619
Gene_7948	chr17	56908679	3.562860
Gene_2800	chr1	183146820	0.260205
Gene_1644	chr5	33750394	0.186784
Gene_5726	chr8	50465432	0.090614
Gene_6901	chr1	169834800	0.462343
Gene_5123	chr17	72479472	0.225551
Gene_2654	chr16	60188341	0.105151
Gene_1147	chr11	10624758	0.328111
Gene_3872	chr4	15078998	1.290466
Gene_5180	chr17	36667552	0.218622
Gene_7018	chr3	110614149	0.691655
Gene_6619	chrY	10933007	0.239043
Gene_5886	chr4	14508209	0.413806
Gene_7299	chr16	12571436	0.231581
Gene_4068	chrX	36183912	0.732323
Gene_2486	chr1	178563679	0.209570
Gene_5954	chr5	44623251	1.153980
Gene_6173	chr16	42945527	0.034548
Gene_0180	chr4	2095384	0.003590
Gene_5478	chr2	28357508	0.520014
Gene_2864	chr13	113485348	0.452448
Gene_6042	chr16	11712725	0.295618
Gene_2745	chr6	6120633	0.298445
Gene_6907	chrX	133801180	0.670943
Gene_2394	chr15	1674843	0.020885
Gene_1531	chr6	101119482	0.353447
Gene_6127	chr10	58994764	0.027205
Gene_6078	chr11	125998294	0.444942
Gene_5319	chr3	76644088	0.361198
Gene_0424	chr1	39672746	0.063046
Gene_1163	chr6	87969752	0.164730
Gene_4228	chrX	92556283	0.128289
Gene_0555	chr6	56748328	0.191913
Gene_2443	chr22	46003138	0.484857
Gene_5577	chr6	93697723	0.105999
Gene_4274	chr2	231268476	0.307491
Gene_6993	chr2	7462975	0.511325
Gene_4019	chr17	48057169	0.514053
Gene_3718	chr11	64877526	0.291161
Gene_5134	chr8	108762839	0.713924
Gene_5158	chr12	4933575	0.959581
Gene_7476	chr12	70862563	0.723932
Gene_6361	chr7	101617489	0.544986
Gene_6676	chr11	33776707	0.228274
Gene_0628	chr7	28143484	0.023176
Gene_1374	chr10	108490624	0.026422
Gene_5993	chr5	85305411	0.124246
Gene_2260	chrX	139119750	1.254331
Gene_1864	chr4	157959420	0.420915
Gene_5495	chr8	30487416	0.377022
Gene_3223	chr13	10247167	0.378293
Gene_0067	chr1	131084876	0.084995
Gene_4281	chr1	43584386	0.006128
Gene_0490	chr1	27680873	0.267510
Gene_2185	chr8	24275601	0.222595
Gene_3361	chr13	7282061	0.003142
Gene_2600	chr5	10971701	0.037214
Gene_1688	chr1	170166873	0.209459
Gene_1286	chr3	131480874	0.806685
Gene_0102	chr7	86601447	0.139220
Gene_1716	chr6	120181699	0.186667
Gene_0107	chr1	76798030	0.036506
Gene_5983	chr11	80570117	0.294596
Gene_2382	chr14	56046206	0.292511
Gene_5795	chr12	71979787	0.074852
Gene_3448	chr1	63310637	0.390278
Gene_6547	chr10	73563554	0.152078
Gene_6259	chr2	83781579	0.903536
Gene_3611	chr10	102464214	0.033987
Gene_2513	chr3	11481568	0.143308
Gene_0344	chr14	51014694	0.173824
Gene_0690	chr7	64285098	0.097854
Gene_2253	chr4	50398822	0.800842
Gene_4732	chrX	97944555	0.192719
Gene_3422	chr8	144762403	0.030692
Gene_5014	chr1	56886603	0.683296
Gene_0679	chr8	46442870	0.135927
Gene_6005	chr18	56304971	0.124299
Gene_5613	chr16	86530637	0.019735
Gene_2305	chr12	56301337	0.101122
Gene_7788	chr1	245926193	3.067420
Gene_3015	chr9	41879951	0.167293
Gene_4268	chr15	71043012	0.289075
Gene_7694	chr19	40957770	3.031728
Gene_7662	chr6	33552418	3.129239
Gene_7977	chr6	72118498	3.183823
Gene_2708	chr17	38665095	0.209427
Gene_6470	chr1	148437667	1.009283
Gene_6077	chr16	65544295	0.515160
Gene_6045	chr8	132235887	0.675815
Gene_1463	chr13	96984296	0.474893
Gene_4296	chr8	114155619	0.250116
Gene_7785	chr4	22970335	3.165104
Gene_3487	chr2	145101457	0.406533
Gene_5712	chr2	12359102	1.050037
Gene_4766	chr16	35168901	0.721843
Gene_5242	chr4	60865832	0.076028
Gene_5528	chr21	11082336	0.340891
Gene_2390	chr4	175623962	1.157453
Gene_7816	chr4	25881422	3.291926
Gene_3027	chrX	14433705	0.560606
Gene_1792	chr11	31085072	0.036757
Gene_2757	chr9	54486684	1.078680
Gene_2752	chr3	164001608	0.014971
Gene_4880	chr8	855861	0.011141
Gene_0448	chrX	99349994	0.128491
Gene_6954	chr8	113883701	0.072522
Gene_4181	chr17	30102888	0.156152
Gene_2992	chr3	99260642	0.482868
Gene_3552	chr2	95703343	0.618986
Gene_3366	chr13	36965669	0.032533
Gene_4845	chr14	2394539	0.389667
Gene_0323	chr14	94260391	0.040738
Gene_1177	chr12	66033158	1.118857
Gene_0958	chr19	41351648	0.829973
Gene_5262	chr12	29060430	0.559264
Gene_0363	chr1	35215674	0.002671
Gene_7137	chr18	4639886	0.318306
Gene_0119	chr8	124594987	0.052940
Gene_3109	chr19	21628524	0.094415
Gene_0365	chr7	145110271	1.285873
Gene_1951	chr6	64835024	0.232735
Gene_3589	chr8	1516661	0.564208
Gene_3728	chr10	3951211	0.485008
Gene_3875	chr8	40449914	0.059798
Gene_4135	chr2	9721897	0.006030
Gene_1078	chr3	132848806	0.584393
Gene_4892	chr16	87893964	0.742653
Gene_1793	chr15	97808415	0.243309
Gene_1496	chr10	127168146	0.416185
Gene_5507	chr3	5569039	0.506059
Gene_6353	chr4	75349016	0.384188
Gene_1212	chrY	31827846	0.029412
Gene_1238	chrX	92276864	0.183521
Gene_3166	chr6	37922190	0.300822
Gene_4502	chr6	73613379	0.979550
Gene_3758	chr17	17384829	0.656712
Gene_7093	chr6	53326699	0.088459
Gene_0165	chr2	120746335	0.086630
Gene_4081	chr5	89794189	0.401724
Gene_1207	chr20	15032755	1.103639
Gene_6065	chr5	127109596	0.789630
Gene_1903	chr14	24976073	0.071608
Gene_6425	chr18	58140981	0.058900
Gene_3342	chr3	76811254	0.293876
Gene_4632	chr3	72004066	0.758899
Gene_7421	chr18	71607777	0.364504
Gene_0019	chr6	12669891	0.307355
Gene_0622	chr14	78322216	0.085265
Gene_4314	chr9	7314258	0.823798
Gene_1748	chr12	53371031	0.718183
Gene_7035	chrX	757625	0.974425
Gene_5581	chr1	9826850	0.002531
Gene_4089	chr20	32136325	0.071104
Gene_0353	chr12	13633513	0.539216
Gene_0024	chrY	15365417	0.345371
Gene_2643	chr7	156744566	0.579253
Gene_2500	chr2	150130861	0.256104
Gene_1988	chr2	5694697	0.015210
Gene_1805	chr8	90971668	0.083533
Gene_0382	chr14	62454562	0.119827
Gene_0252	chr18	22682697	0.831139
Gene_1525	chr10	12429980	0.358894
Gene_2989	chr5	65813769	0.286522
Gene_6504	chr7	63194959	0.174867
Gene_2973	chr1	164602003	0.560326
Gene_1258	chr5	29564879	0.343962
Gene_7326	chr13	16749113	0.217496
Gene_0579	chr6	38445880	0.241399
Gene_5104	chr4	155702528	1.009147
Gene_7902	chr1	240591117	3.357397
Gene_4671	chr7	58284859	0.258532
Gene_2519	chr18	30115713	0.696480
Gene_4846	chr19	28443554	0.323695
Gene_4493	chr5	12039285	0.327755
Gene_1675	chr16	51139008	0.601803
Gene_4517	chr7	125971633	0.643040
Gene_7600	chr14	36787010	0.346262
Gene_2463	chr9	39905284	0.235075
Gene_6978	chr2	229543799	0.158966
Gene_0682	chr16	63450316	0.222897
Gene_6472	chr9	55728406	0.323087
Gene_4361	chr19	40761190	0.076729
Gene_2157	chr16	10615088	0.837533
Gene_3057	chr4	165893939	0.126745
Gene_5747	chr18	32552403	0.468314
Gene_1257	chr8	23831947	0.230023
Gene_6374	chr10	28290581	0.043908
Gene_7550	chr18	30959634	0.787359
Gene_6397	chr2	51869325	0.626893
Gene_5473	chr14	87109560	0.556426
Gene_5510	chr1	88922073	0.060134
Gene_1886	chr10	17413789	0.110604
Gene_5054	chr9	58317876	0.252412
Gene_2082	chr1	80678068	0.149400
Gene_1755	chr7	89050702	0.647024
Gene_1024	chr3	191056025	0.430047
Gene_5879	chr3	155468797	0.235878
Gene_7058	chr12	99724565	0.637826
Gene_7973	chrX	21976757	3.174633
Gene_7697	chr5	179340904	3.690623
Gene_1707	chr6	137953297	0.554916
Gene_0327	chr4	79184666	0.423603
Gene_4691	chr9	76421872	0.046362
Gene_6367	chr3	19616831	0.142702
Gene_6561	chr8	49428046	0.001600
Gene_4202	chr7	16074207	0.364255
Gene_3622	chr14	95432859	0.094243
Gene_0273	chr1	184411636	0.160205
Gene_2222	chr2	34178992	0.097917
Gene_5664	chr20	49583219	1.018554
Gene_5765	chr6	40304035	0.238866
Gene_5099	chr7	57742938	0.197704
Gene_3413	chr4	136476800	0.692410
Gene_6607	chr10	67569152	0.165745
Gene_6277	chr21	15582147	0.375659
Gene_5864	chr16	63993203	0.164435
Gene_6680	chr2	17032889	0.044330
Gene_6622	chr19	42332329	0.173519
Gene_5789	chr8	33154726	0.406620
Gene_2482	chr4	101702031	0.160470
Gene_2509	chr12	8557771	0.041579
Gene_3796	chr15	36019687	0.193229
Gene_1209	chr14	59632491	0.280256
Gene_5906	chr13	34928773	0.303941
Gene_2346	chr5	116000490	0.978498
Gene_7811	chr11	29938742	3.989870
Gene_4431	chr1	111429256	0.065100
Gene_4636	chr7	91864385	0.152490
Gene_1985	chr10	63109060	1.116763
Gene_3317	chr20	6684420	0.394762
Gene_1521	chr8	49667485	0.557317
Gene_5923	chr10	103202818	1.112791
Gene_1977	chr1	9844091	0.459556
Gene_6827	chrY	1240522	0.813469
Gene_0944	chr6	140119961	0.855057
Gene_5804	chr9	103659503	0.311527
Gene_7157	chr14	100406346	0.964438
Gene_0286	chrX	8820940	0.102660
Gene_3603	chr3	167972234	0.236342
Gene_7248	chr1	159171058	0.198252
Gene_4884	chr2	3123545	0.283243
Gene_7399	chr18	77027019	0.488138
Gene_3643	chrY	4417328	0.420696
Gene_2061	chr11	1035671	0.302263
Gene_0054	chrX	105499102	0.062548
Gene_5002	chr2	25832320	0.125417
Gene_1308	chr6	143442006	0.006227
Gene_7130	chr22	11947176	0.106174
Gene_3314	chr1	56906755	0.080191
Gene_4412	chr6	63193413	0.014593
Gene_0378	chr14	42477004	0.262697
Gene_2935	chr1	67893267	0.072853
Gene_1577	chr13	99226406	0.421056
Gene_0016	chr2	240871051	0.202091
Gene_6557	chr12	4464879	0.261534
Gene_4098	chr4	19793206	0.493321
Gene_7547	chr4	164049796	0.389559
Gene_2659	chr18	28537878	0.068156
Gene_0399	chr7	119396112	0.404970
Gene_3660	chr2	86285621	0.903107
Gene_2016	chr8	132153945	0.125060
Gene_3881	chr11	46150793	0.788646
Gene_6674	chr10	89346404	0.037435
Gene_5743	chr2	100697807	0.863214
Gene_5910	chr3	97065835	0.717393
Gene_2979	chr5	101518624	0.148119
Gene_6511	chr4	132875296	0.235135
Gene_0912	chr3	137516500	0.020358
Gene_4538	chr13	50648981	0.928656
Gene_1725	chr4	165811783	1.210265
Gene_3854	chr16	88768004	0.152536
Gene_6169	chr5	42363472	0.065029
Gene_4655	chr15	66937949	0.012316
Gene_7489	chr11	60245506	0.433809
Gene_1077	chr4	108730331	0.130492
Gene_6418	chr1	203458936	0.329332
Gene_3216	chr9	123176606	1.054197
Gene_3301	chr9	2389906	1.246828
Gene_5875	chr6	88337855	0.099544
Gene_7839	chr13	15440593	3.851171
Gene_0953	chr13	101672179	0.524601
Gene_4443	chr6	84061829	0.409181
Gene_7951	chr3	123060033	3.088113
Gene_4747	chr7	111501703	0.229708
Gene_6257	chr6	16126289	1.286072
Gene_5628	chr2	213009222	0.098739
Gene_4158	chr1	201564556	0.040212
Gene_6179	chr1	227944720	0.228551
Gene_2357	chr4	189287389	0.273313
Gene_6038	chr19	8919984	0.070237
Gene_6262	chr12	132904695	0.961929
Gene_7820	chr4	90896133	3.311113
Gene_5148	chr4	133111179	0.290483
Gene_6254	chr6	137873709	0.517375
Gene_7181	chr13	96732641	0.173604
Gene_3537	chr1	196292952	0.329946
Gene_1614	chr18	61307290	0.020377
Gene_2235	chr7	10648086	0.329467
Gene_1776	chr2	15189687	0.149580
Gene_6174	chrY	36352428	0.426798
Gene_5450	chr11	38372962	0.225074
Gene_4374	chr20	29333440	0.132551
Gene_2702	chr5	111819094	0.699131
Gene_3946	chr12	115409502	0.637153
Gene_6270	chr3	104571208	1.048908
Gene_1761	chr13	85829500	1.278077
Gene_5268	chr9	104204062	0.009905
Gene_6742	chr6	136603716	0.372193
Gene_2746	chr11	28004998	0.174815
Gene_3539	chr9	11297292	1.033219
Gene_0568	chr1	37395057	0.113962
Gene_3585	chr4	47943782	0.708648
Gene_1340	chr15	25960888	0.187621
Gene_0543	chr5	118208539	0.381856
Gene_7194	chr20	51099526	0.339154
Gene_2622	chr9	38362404	0.004755
Gene_3746	chr14	21392960	0.480693
Gene_3190	chr17	38230352	1.105180
Gene_5561	chr13	26857193	0.209584
Gene_3171	chr4	182896965	0.289422
Gene_2401	chr6	154127035	0.488183
Gene_5707	chr8	2283998	0.469093
Gene_3513	chr17	60083054	0.336314
Gene_0167	chr11	82765847	0.030480
Gene_7853	chr6	114679547	3.036165
Gene_5018	chr16	30461751	0.488362
Gene_0549	chr6	93653767	0.043485
Gene_2675	chr3	100311434	0.226119
Gene_7277	chr20	48193364	0.091596
Gene_7656	chr5	143381636	3.410095
Gene_7169	chr5	63129041	0.268667
Gene_2786	chr11	125478854	0.345877
Gene_4539	chr7	82085783	0.716973
Gene_2284	chr15	85705154	1.049066
Gene_7527	chr8	5253997	0.153807
Gene_3770	chr7	7657352	0.266711
Gene_5370	chr1	93547480	0.111560
Gene_4888	chr3	103454405	0.567695
Gene_0782	chr5	99686022	0.299986
Gene_2487	chr5	179307507	1.250203
Gene_6963	chr5	5941310	0.438672
Gene_7577	chr3	190732088	1.192000
Gene_0449	chr1	89694706	0.153825
Gene_5685	chr2	161454960	0.602552
Gene_1425	chr5	48751693	0.408729
Gene_0174	chr11	1717223	0.902447
Gene_2690	chrX	55953159	0.482770
Gene_4927	chr14	16581076	0.086538
Gene_3090	chr4	65401573	0.171101
Gene_3149	chr18	29134402	0.170922
Gene_2351	chr5	173419222	1.111386
Gene_5539	chr2	61848014	0.163302
Gene_3928	chr6	99422479	0.155799
Gene_7121	chr12	50221897	0.352690
Gene_1051	chr10	98041173	0.183363
Gene_7329	chr3	30813960	0.409213
Gene_3213	chr8	88361645	0.818091
Gene_5233	chr14	24709384	0.681235
Gene_2074	chr4	33960930	0.052645
Gene_4802	chr13	4847419	0.054932
Gene_2067	chr11	38393675	0.090364
Gene_5521	chr1	225836409	0.188811
Gene_6376	chr13	23783625	0.747125
Gene_7076	chr9	29453249	0.372982
Gene_4907	chr15	40413619	0.101266
Gene_1248	chr13	45173127	0.473875
Gene_6685	chr10	44100723	0.559639
Gene_0955	chr3	94692802	0.217474
Gene_3555	chr4	509591	0.178647
Gene_7874	chr22	21862508	3.480111
Gene_2243	chr5	142595751	0.358200
Gene_2661	chr1	22593721	0.410634
Gene_6826	chr11	83278794	0.208992
Gene_4789	chr14	36516660	0.109997
Gene_4581	chr2	27001904	0.087970
Gene_5171	chr6	115621333	0.243026
Gene_5767	chr4	70149900	0.995051
Gene_0689	chrX	21515564	0.317330
Gene_0620	chr4	174121405	0.810210
Gene_5290	chr12	64500563	0.234593
Gene_1828	chr2	184692869	0.235515
Gene_7016	chr4	122992596	0.014726
Gene_7913	chr5	109411045	3.958101
Gene_6554	chr1	39338169	0.485987
Gene_7718	chr15	72171684	3.453363
Gene_3055	chr9	110588748	0.787222
Gene_0330	chr16	23058319	0.130538
Gene_6755	chr1	161138962	0.853164
Gene_2596	chr5	30807201	1.056674
Gene_4946	chr11	9466618	0.578656
Gene_7810	chrX	109344786	3.603821
Gene_0383	chr3	86000417	0.047154
Gene_4580	chr9	86121381	0.179196
Gene_0789	chrX	97484017	0.595845
Gene_5477	chr6	84250839	0.466611
Gene_0879	chr7	157977605	0.064232
Gene_0459	chr12	22783389	0.864672
Gene_5017	chr5	144957653	0.431088
Gene_0299	chr14	40728058	0.065719
Gene_2245	chr11	112480775	0.217855
Gene_5863	chrX	150142375	0.660973
Gene_6505	chr7	98889562	0.551361
Gene_6295	chr8	133895917	0.486129
Gene_0629	chr5	87258519	0.440009
Gene_1779	chr18	47545510	0.092362
Gene_2066	chr3	145357424	0.305577
Gene_0226	chr1	82713499	1.051816
Gene_5062	chr8	62012147	0.265084
Gene_6687	chr14	101341924	0.436147
Gene_3525	chr1	186027236	0.172872
Gene_2828	chr15	43671830	0.130365
Gene_3580	chr3	19692216	0.294438
Gene_6970	chr8	39028052	0.200872
Gene_7520	chr2	228032186	0.072485
